Num_ID,Country_Area,Year,Unit,GDP_INT,Formatted
231,Uruguay,2021,US$,59317612017,"$59,317,612,017 "
232,Uzbekistan,2021,US$,69238903166,"$69,238,903,166 "
233,Vanuatu,2021,US$,980571480,"$980,571,480 "
234,Venezuela (Bolivarian Republic of),2021,US$,1.12E+11,"$111,813,000,000 "
235,Viet Nam,2021,US$,3.66E+11,"$366,138,000,000 "
236,Western Africa,2021,US$,7.25E+11,"$725,318,000,000 "
237,Western Asia,2021,US$,3.43E+12,"$3,433,390,000,000 "
238,Western Europe,2021,US$,1.02E+13,"$10,218,700,000,000 "
239,World,2021,US$,9.67E+13,"$96,698,000,000,000 "
240,Yemen,2021,US$,9946815477,"$9,946,815,477 "
241,Zambia,2021,US$,21313366727,"$21,313,366,727 "
242,Zimbabwe,2021,US$,24118150864,"$24,118,150,864 "
